hud_area_code,hud_area_name,zcta,total_units,fmr_afford_units,safmr_afford_units,fmr_afford_pct,safmr_afford_pct,diff_afford_units,diff_afford_pct
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30002,937,677.5,527.5,0.7230522945570971,0.5629669156883671,-150,-22.14022140221402
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30004,4835,530,1562.5,0.10961737331954498,0.3231644260599793,1032.5,194.81132075471697
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30005,2985,147.5,687.5,0.049413735343383586,0.23031825795644892,540,366.10169491525426
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30008,3810,2060,1507.5,0.5406824146981627,0.3956692913385827,-552.5,-26.820388349514563
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30009,1830,185,455,0.10109289617486339,0.24863387978142076,270,145.94594594594594
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30011,674,447.5,310,0.663946587537092,0.4599406528189911,-137.5,-30.726256983240223
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30012,3053,1983,1290.5,0.6495250573206682,0.42269898460530625,-692.5,-34.921835602622295
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30013,2439,1256.5,829,0.515170151701517,0.33989339893398934,-427.5,-34.02307998408277
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30014,3663,2404,1884,0.6562926562926563,0.5143325143325144,-520,-21.630615640599
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30016,2725,1517.5,2112.5,0.5568807339449541,0.7752293577981652,595,39.209225700164744
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30017,752,103,283,0.13696808510638298,0.37632978723404253,180,174.75728155339806
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30019,565,60,245,0.10619469026548672,0.4336283185840708,185,308.33333333333337
